19185 2.59029e+07
3118 7499 278.374
3119 16147 759.893
3120 270 99.865
3121 4915 72.837
3122 11338 926.771
3123 3124 1904.42
3124 11050 206.746
3125 1548 120.415
3126 6281 65.317
3126 3543 1970.78
3127 6811 2835.97
3128 14721 3926.72
3129 17188 95.937
3130 12911 2.286
3131 13120 3788.8
3132 14752 55.624
3132 6906 452.81
3133 12433 499.807
3134 7527 370.906
3134 881 687.887
3135 18722 91.069
3136 14791 1970.37
3137 12464 103.504
3138 9570 165.544
3138 1887 41.652
3138 11024 109.724
3140 11582 238.447
3141 15105 181.368
3142 10735 151.783
3144 9850 911.156
3144 12571 663.413
3145 8088 369.868
3146 12484 121.801
3146 15429 39.871
3147 1748 9008.3
3149 8115 858.945
3150 14862 0.643
3150 12012 28.436
3151 18536 615.45
3152 18232 281.823
3154 830 29.733
3155 11851 1063.21
3156 17295 3121.03
3157 13997 4820.85
3158 1938 102.95
3159 3367 0.253
3161 6578 2009.84
3162 9005 192.808
3163 11837 1055.82
3166 8809 646.592
3167 2286 101.422
3168 7089 113.195
3169 990 978.251
3170 6500 1579.3
3171 8669 638.384
3172 9246 614.993
3173 2030 133.614
3174 134 6156.81
3175 9817 0.763
3175 11512 108.064
3176 7029 1100.23
3177 3170 58.953
3178 16690 1046.25
3179 15054 64.172
3180 11059 96.745
3181 6240 1112.19
3183 182 2475.29
3186 3474 420.338
3188 16894 2987.13
3189 12755 137.413
3190 4490 3342.73
3191 15028 2325.53
3192 14846 758.659
3193 13757 380.943
3194 3939 591.177
3196 4402 19.409
3197 4635 3490.43
3198 11438 167.347
3200 13331 179.241
3201 44 2232.82
3202 14662 5586.67
3203 2819 184.954
3204 4840 37.887
3205 13931 1706.56
3207 6458 226.906
3208 10015 40.915
3208 114 108.772
3208 14219 42.742
3208 10886 25.578
3209 10383 8446.5
3210 13688 8874.79
3211 15622 62.367
3211 6940 195.962
3212 9696 1837.3
3213 8988 8.103
3214 10974 2277.65
3215 17471 3243.52
3216 13834 3075.13
3217 3149 140.963
3218 2543 157.566
3220 9815 556.147
3221 3281 4252.24
3222 4555 98.488
3222 6807 858.992
3223 857 106.972
3224 16519 85.779
3225 1217 1064.34
3226 437 114.189
3226 11509 29.631
3227 7892 75.195
3227 5213 22.941
3228 11091 714.366
3229 17511 2729.92
3230 10470 2335.78
3231 383 2958.15
3232 778 1659.72
3233 12012 174.166
3234 15363 3678.3
3235 6453 302.263
3237 13412 616.325
3238 8854 151.098
3239 16690 577.7
3239 10281 59.138
3240 6493 1180.76
3240 9691 691.719
3241 8960 1461.27
3242 5012 830.178
3243 17245 86.401
3244 14255 5209.68
3245 11217 419.416
3246 5363 639.403
3246 14919 708.386
3247 11829 24.274
3248 11626 6.554
3248 13558 40.898
3249 12896 79.961
3250 1172 2180.26
3251 10936 258.62
3252 9832 544.276
3253 7491 75.826
3254 11504 509.239
3255 6732 44.637
3255 11872 21.79
3256 6855 356.215
3257 2629 2398.07
3257 9095 1722.87
3258 7383 99.048
3259 13925 1676.68
3261 2475 1656.62
3262 3226 1649.51
3263 5122 1518.73
3264 5122 6833.33
3265 3217 863.396
3266 2725 830.846
3267 10459 215.472
3268 1754 8320.62
3269 17242 545.537
3270 880 842.612
3271 7852 514.17
3272 12366 890.886
3273 14645 497.946
3274 6483 202.169
3275 6907 383.198
3276 9272 1518.54
3278 3435 140.747
3280 8648 2234.23
3281 221 389.706
3282 18181 669.621
3283 2530 393.572
3284 4738 1669.05
3285 12434 72.858
3285 13931 279.193
3287 1105 333.542
3288 10529 55.514
3289 13093 211.827
3290 219 14.144
3291 2541 661.037
3291 9193 507.774
3292 18348 910.637
3293 4393 480.083
3293 10746 315.539
3295 16230 2591.96
3296 2936 561.975
3297 13231 107.152
3298 10663 1277.02
3299 17603 2159.75
3300 7987 201.895
3302 17184 641.784
3303 12249 100.937
3304 11256 117.817
3305 13369 51.64
3306 6215 9127.37
3307 16777 1360
3308 9663 1965.13
3309 3301 789.964
3310 338 5387.72
3311 430 237.519
3312 10591 28.674
3313 3689 105.258
3314 14569 108.546
3316 11574 2683.86
3317 17242 2446.39
3318 5244 270.343
3319 13156 311.896
3319 11335 303.712
3320 17108 8790.15
3321 14182 9391.78
3323 10135 375.551
3324 5882 104.38
3325 4543 628.449
3326 17634 109.415
3326 15631 112.138
3326 17944 91.408
3327 1021 495.221
3330 18571 363.156
3331 11786 101.361
3332 10462 156.301
3333 11776 431.21
3334 10382 2514.07
3335 1272 189.6
3336 9001 9.412
3337 12364 713.041
3338 8085 1827.41
3339 1360 28.047
3340 1225 535.195
3342 10180 104.767
3342 9090 100.501
3342 6128 172.462
3343 9091 986.864
3344 11738 954.616
3345 9253 379.215
3346 15155 415.694
3347 14711 691.682
3348 2592 1214.06
3349 16180 1961.62
3350 13061 936.664
3350 14788 969.02
3354 11387 591.839
3356 11313 524.581
3357 5645 20.346
3357 554 118.866
3358 7241 75.601
3359 10305 607.69
3360 14552 179.787
3360 10953 19.88
3361 13520 746.545
3362 4979 3040.11
3363 13871 4696.12
3364 13790 995.347
3365 2799 1623.27
3366 14562 1422.24
3367 11551 6.858
3368 5709 119.253
3370 5186 198.821
3371 11883 542.375
3372 9977 9868.4
3372 4602 2343.33
3373 12310 446.556
3374 548 3913.89
3375 9159 739.762
3376 17516 176.24
3377 14799 2223.26
3378 5784 4471.4
3379 18063 511.578
3380 5923 4939.47
3381 15300 157.622
3382 1141 426.279
3383 9282 101.391
3384 13995 302.127
3387 13752 56.273
3388 13888 2913.35
3389 1778 4404.21
3390 2721 330.707
3391 12130 215.724
3392 6722 7217.85
3393 12185 103.728
3393 1203 7.867
3394 2679 175.898
3395 5517 99.351
3396 10383 6423.91
3397 17097 1579.41
3398 11482 459.715
3398 14970 1182.41
3399 3203 1374.31
3400 5769 34.736
3401 14686 52.135
3402 7839 320.783
3403 1856 1778.93
3405 12651 60.204
3406 6825 8265.86
3407 3477 257.72
3408 320 2983.5
3409 13473 30.124
3410 5868 134.131
3410 5769 110.328
3411 17082 4869.05
3412 13015 164.102
3413 2072 1123.1
3414 4188 343.931
3415 7694 1792.35
3416 78 412.708
3417 10980 1569.91
3418 12165 1062.37
3419 10295 128.556
3420 463 158.728
3421 2454 591.481
3422 4378 825.966
3423 12233 79.957
3423 16942 67.033
3424 7311 1312.43
3425 10519 327.293
3426 14826 6.636
3426 10172 804.344
3427 13722 337.595
3428 15807 951.545
3429 1980 3334.2
3430 15632 593.046
3431 371 2641.7
3432 1385 110.514
3433 10682 292.696
3433 18080 263.869
3434 13099 732.048
3435 4186 528.972
3436 5141 272.758
3437 3135 4707.64
3438 6588 5010.16
3438 2147 3709.73
3439 1381 495.091
3440 4064 3054.48
3441 9761 1480.12
3442 3724 1790.17
3443 7113 390.526
3444 14115 681.547
3445 1261 3368.61
3446 16243 9211.59
3447 11578 303.862
3447 15982 11.634
3448 7311 511.551
3449 17170 1261.13
3450 12433 8148.48
3451 11563 3399.13
3452 6570 2166.35
3453 7299 50.583
3454 9295 272.733
3455 18486 22.661
3455 7214 47.126
3456 7286 2006.1
3457 16528 167.363
3458 16927 4805.22
3459 14500 1613.98
3460 7706 1702.84
3461 131 9176.71
3462 12665 2126.74
3463 10567 320.805
3465 3466 58.596
3465 7266 216.656
3465 13583 13.364
3466 8146 614.163
3467 10309 518.024
3467 5305 367.443
3468 2394 40.194
3469 14689 0.553
3469 16967 76.92
3470 8079 316.747
3472 3173 362.825
3473 4362 3602.27
3474 15044 96.623
3476 2515 818.756
3478 6905 521.526
3479 9259 126.171
3480 9534 184.31
3481 1802 712.487
3482 14216 264.437
3483 3152 359.876
3484 10526 1142.51
3485 16331 137.345
3487 7612 218.136
3488 2809 1411.12
3489 17601 9209.34
3490 3265 1531.68
3491 9688 763.645
3492 5541 0.665
3493 13576 72.224
3494 16463 39.044
3495 5121 1594.84
3496 1160 26.221
3497 14720 287.83
3498 10558 560.875
3499 18112 4082.25
3500 4415 282.742
3501 1151 4082.75
3502 2252 72.647
3503 1129 1932.68
3504 14728 439.932
3506 2073 536.628
3507 160 1999.46
3508 13049 1769.32
3509 4068 321.492
3510 18669 531.651
3511 7311 41.763
3512 1775 966.348
3513 8688 200.156
3513 9210 290.467
3515 9459 713.361
3516 9459 8685.28
3517 9845 211.218
3518 390 594.772
3519 11497 264.185
3520 10897 4194.07
3521 16918 220.903
3523 15730 460.511
3524 3875 1093.99
3525 11258 3606.68
3526 5563 104.408
3527 17532 65.089
3528 16605 1342.01
3529 199 3311.53
3530 6741 723.819
3531 1530 175.763
3532 172 5354.24
3532 9873 3154.74
3533 12081 426.867
3534 2159 5330.26
3535 16693 2966.78
3536 7703 1521.63
3537 6056 828.653
3538 16804 980.434
3539 10099 4149.1
3540 12841 1181.89
3541 15678 965.965
3542 14930 1329.41
3543 14399 109.471
3544 1147 102.205
3545 2282 44.28
3547 6476 9200.91
3548 7807 7398.75
3549 12862 6260.26
3550 5862 1576.11
3551 10284 1590.59
3552 6425 2178.18
3553 9890 2018.15
3555 16147 1379.43
3557 12633 2132.22
3558 2111 6238.33
3559 17761 334.927
3560 15287 1251.6
3561 16658 207.018
3563 13754 5478.47
3564 3562 525.065
3565 5486 2032.27
3566 472 1227.5
3567 2617 38.212
3568 6950 671.47
3569 154 119.034
3569 2983 995.67
3570 13235 3933.68
3571 9261 1308.93
3572 18488 6665.54
3573 13489 1627.38
3574 13325 3054.4
3575 7161 9281.37
3576 10674 44.963
3577 13693 59.624
3578 9624 663.88
3579 7241 31.282
3580 1844 751.924
3580 15506 516.173
3581 4052 1348
3583 12249 2257.73
3584 15678 2145.03
3585 5570 39.576
3586 6323 177.573
3587 8973 695.805
3587 11908 186.541
3589 5479 324.027
3589 1008 1467.96
3590 7011 548.95
3591 11211 350.877
3592 13344 283.692
3593 3194 780.318
3594 13331 132.759
3594 5670 102.129
3595 14393 3415.74
3596 3557 282.987
3597 8032 918.767
3598 615 1609.19
3599 6416 128.785
3600 9225 217.242
3601 5748 1012.08
3602 7128 723.899
3603 5145 1802.44
3604 7255 1788.23
3605 6285 581.853
3606 2706 419.776
3607 16682 417.408
3608 14823 310.568
3609 17977 4846.57
3610 13535 2654.49
3611 15854 188.847
3612 17466 516.636
3613 7357 5534.46
3614 10784 2873.88
3615 3288 406.45
3617 17856 232.069
3618 6705 426.472
3620 14135 142.736
3622 15548 270.986
3623 5244 188.173
3624 17480 1395.42
3624 14764 2622.44
3624 810 1089.06
3625 18122 571.435
3626 7299 37.883
3627 4816 106.526
3628 10413 114.341
3629 7938 150.841
3629 3491 62.383
3630 17741 1973.78
3631 11858 5526.2
3632 2663 98.39
3633 18036 2656.83
3634 2307 1068.26
3635 13774 304.9
3636 2406 500.033
3637 3665 256.963
3637 15913 179.263
3638 17537 427.344
3638 18200 437.104
3639 14164 432.747
3640 7885 369.556
3640 1232 327.099
3641 1561 641.543
3642 6445 1236.65
3642 11930 446.192
3643 16244 205.093
3644 6125 5285.33
3646 1380 2375.51
3647 11020 8.86
3650 8466 2549.73
3651 4783 660.241
3651 4369 128.049
3652 2175 40.307
3653 10721 478.976
3654 77 93.758
3655 4977 218.074
3656 1266 3412.06
3657 2304 928.273
3658 8853 334.534
3659 16355 4785.22
3660 12824 2419.5
3661 10193 579.175
3662 2447 2154.33
3663 3227 497.074
3664 1780 151.225
3664 1715 42.906
3665 3072 120.764
3666 10585 37.738
3667 1413 17.59
3668 7563 4.093
3669 438 37.078
3670 1067 139.895
3671 14393 797.475
3672 17435 2921.04
3673 12910 1607.09
3674 1009 387.2
3676 6243 4197.79
3677 12624 9710.97
3678 2543 223.373
3679 17707 402.369
3680 7809 5729.47
3681 18385 784.643
3682 8282 1336.97
3684 3192 159.654
3685 7967 4785.31
3686 2514 404.788
3687 14463 7639.51
3688 4647 691.782
3689 151 87.213
3690 6028 2575.1
3691 14334 1725.11
3692 17386 1126.28
3694 2261 2923.12
3695 12309 3447.5
3696 6553 7023.27
3697 1362 84.336
3700 9688 103.091
3701 7491 2180.05
3702 13967 446.84
3703 8561 149.084
3704 8907 202.18
3705 14017 844.566
3707 16691 123.819
3708 3707 262.546
3709 423 113.329
3710 9343 4947.94
3711 18383 429.205
3712 6313 137.648
3713 659 2688.03
3715 15798 233.765
3716 18019 9061.29
3717 13946 137.115
3718 1071 1092.49
3719 17368 35.094
3719 516 47.905
3719 13589 17.599
3720 12810 2227.36
3721 15427 233.547
3722 5879 45.17
3723 17498 88.102
3724 6732 53.374
3724 6047 48.066
3725 8390 308.54
3727 17839 5747.24
3728 6777 35.068
3729 17291 1102.07
3730 13719 2000.2
3731 17957 613.9
3732 11334 293.384
3733 7001 937.618
3734 5705 77.644
3735 142 578.113
3737 2200 20.23
3737 16910 62.572
3738 7384 805.304
3740 15812 217.014
3740 8063 227.066
3741 9002 38.269
3742 13463 1790.72
3743 1606 624.708
3745 17998 288.579
3746 15897 6738.45
3747 15632 191.999
3748 10670 264.843
3749 13888 128.469
3750 13908 1037.28
3751 4805 3478.36
3752 16881 947.254
3753 4961 1876.78
3754 3347 1413.46
3755 3676 5742.65
3756 15432 4136.84
3757 12503 24.704
3758 16699 1439.97
3759 4040 1413.29
3761 5044 201.857
3762 13935 227.024
3762 4235 146.307
3763 7001 785.4
3764 3695 3808.59
3765 5734 16.822
3766 16295 4628.43
3767 13478 1166.05
3768 11110 5125.83
3769 1621 207.584
3769 12507 407.325
3770 11917 220.186
3771 11293 90.249
3772 1899 3500.53
3773 15715 1062.3
3774 9157 258.773
3774 13742 624.362
3776 9182 1592.67
3777 17808 4958.76
3777 10477 5230.39
3778 2466 5631.57
3779 3185 428.22
3780 4354 221.308
3780 9663 282.438
3780 9440 618.196
3781 5851 461.375
3782 11211 698.86
3783 1859 496.188
3784 11653 289.026
3785 2116 67.298
3788 13076 125.867
3789 3088 2568.89
3790 18031 631.177
3791 6553 5611.07
3792 18613 739.475
3792 14021 444.141
3793 9094 51.149
3793 14582 39.899
3794 8079 869.516
3795 10273 961.171
3796 5779 41.497
3797 3410 48.969
3798 11643 683.614
3799 4264 3618.09
3800 6607 1287.59
3801 1977 527.219
3802 18406 419.904
3803 10946 129.435
3804 1416 293.31
3805 9956 266.368
3806 389 473.546
3807 1802 225.222
3808 13860 3484.44
3809 13711 5149.27
3810 4870 843.732
3811 5980 235.768
3812 10430 48.924
3812 8684 901.12
3812 314 716.276
3813 9113 5323
3814 10062 2900.56
3814 13510 2882.45
3816 1389 918.72
3817 15938 65.269
3819 10615 190.46
3820 6826 3141.17
3821 5624 2460.86
3822 9803 4042.63
3823 5983 1116.64
3824 3447 3449.64
3825 10991 6026
3827 2288 1251.01
3828 16572 1327.43
3828 18147 1258.09
3829 4927 3931.27
3830 3974 79.412
3832 2493 1716.84
3833 4150 417.616
3834 6578 238.044
3835 3540 4499.74
3836 5258 6096.32
3837 6747 539.158
3838 16779 4167.76
3839 2715 1172.27
3840 13269 31.044
3840 1681 7.663
3841 13528 267.698
3842 14255 2192.62
3844 1478 206.327
3845 16165 3804.12
3846 13540 93.992
3847 2319 376.663
3848 13369 172.287
3850 5019 399.546
3851 16603 640.674
3852 16293 5550.17
3853 16293 190.807
3854 3368 2137.31
3855 11997 557.733
3856 18700 1585.69
3857 13494 3.509
3858 16157 150.23
3858 590 153.079
3859 18311 1277.69
3860 17196 290.667
3860 9307 137.186
3861 2993 6647.02
3861 4691 1411.35
3862 17841 1043.4
3863 15383 375.979
3864 7968 2345.24
3865 6945 3303.54
3867 7304 1257.59
3868 17918 98.626
3869 5748 146.3
3869 15034 132.229
3870 111 522.804
3871 6854 685.817
3872 1227 427.899
3873 17633 36.058
3874 4220 462.678
3875 2376 39.529
3876 13080 1175.13
3877 11383 440.432
3878 2019 710.34
3879 7184 5753.07
3880 17532 261.781
3881 12030 793.107
3882 657 484.807
3882 3480 1199.24
3883 4967 86.202
3884 9691 328.091
3886 663 463.541
3887 13953 2159.56
3888 3671 8705.53
3891 16338 192.12
3893 7826 474.23
3894 9594 2000.7
3895 11326 69.336
3896 5779 80.026
3897 6244 441.889
3898 4335 36.294
3899 7636 3890.38
3900 6235 70.569
3901 10027 5219.48
3902 3221 662.776
3904 11404 331.417
3904 10471 129.936
3905 4062 2703.75
3906 15082 772.719
3907 14554 2505.63
3908 13315 2735.03
3909 1963 134.568
3911 5887 21.595
3912 4273 863.044
3913 13886 247.881
3914 13571 124.613
3915 17090 165.248
3916 7134 474.018
3917 9187 7010.19
3918 9736 3330.37
3919 5806 1477.42
3921 10954 7809.43
3922 6330 401.669
3923 18503 2299.45
3924 7247 106.973
3925 160 650.509
3926 16918 408.702
3927 477 4998.99
3930 6467 184.661
3930 10068 65.42
3931 10614 91.669
3932 10471 1373.58
3932 1920 642.857
3933 7180 434.711
3936 418 218.975
3937 18063 40.889
3938 2194 31.44
3939 3192 495.598
3939 13755 65.853
3941 16627 1333.24
3942 4282 193.488
3943 7022 1670.44
3944 6056 1187.83
3945 12113 2171.86
3946 15699 1867.05
3947 8726 224.468
3948 14604 88.404
3949 1758 214.883
3949 3675 184.451
3950 13927 5590.18
3951 16338 14.539
3952 14724 116.312
3954 3749 1455.22
3956 16990 1819.89
3957 14012 3.796
3958 1644 1978.39
3958 16558 3110.03
3959 11379 5757.94
3960 457 186.35
3961 510 154.194
3962 15562 751.443
3963 14783 797.608
3964 11377 3242.36
3965 16253 7316.8
3966 1587 612.499
3967 13372 6180.47
3968 2986 775.322
3969 15632 836.039
3970 3725 116.768
3971 2325 631.606
3972 13806 4520.54
3973 4021 813.732
3973 16767 962.807
3974 4077 24.505
3975 6832 1690.58
3976 5952 1817.7
3977 14110 2523.91
3978 5127 536.931
3979 11199 4078.92
3980 4572 85.063
3981 6088 567.815
3982 10665 323.36
3983 993 742.077
3984 938 1171.1
3985 15804 55.899
3985 13763 263.416
3986 4258 234.631
3987 3619 17.04
3988 12988 26.499
3989 5109 89.441
3990 1332 52.27
3991 1088 53.976
3991 14992 123.767
3992 9815 576.325
3993 14681 357.057
3994 6471 842.925
3995 16690 101.34
3996 6270 92.576
3997 13756 1619.11
3998 5173 5958.9
4000 9160 84.357
4001 5740 4518.75
4003 17340 908.302
4004 8742 264.468
4005 17289 1379.43
4007 6181 9747.48
4008 16018 140.641
4008 6330 138.409
4009 13443 25.162
4010 15471 552.992
4011 4168 1537.66
4011 899 2265.84
4012 6797 1.232
4012 10143 27.619
4013 14350 148.261
4014 14018 1106.57
4015 9941 31.927
4016 4719 8867
4017 1730 283.393
4018 15051 168.06
4019 14013 266.141
4020 1251 130.432
4021 8209 2248.95
4022 5745 684.658
4023 8259 114.257
4023 149 262.501
4025 6284 3128.08
4026 6665 1277.11
4027 4604 549.179
4028 8434 1441.13
4029 14813 2907.55
4030 12334 254.105
4031 2113 1450.58
4032 1606 215.647
4033 7712 1.425
4033 14720 215.276
4034 6529 19.454
4035 10946 146.084
4036 12450 490.284
4036 8899 1598.18
4037 1612 2005.89
4038 9015 649.437
4038 8473 209.259
4039 2553 997.504
4040 16690 32.448
4041 4203 3692.91
4042 14892 139.262
4043 686 3220.48
4045 11744 1742.82
4046 8794 354.388
4047 10338 7825.87
4049 6917 142.936
4050 6658 3598.93
4053 3498 280.24
4054 11372 3418.95
4055 11841 30.062
4056 841 7429.61
4057 17306 11.366
4058 12755 1396.76
4059 11872 4.069
4059 12480 0.231
4060 7587 4821.24
4061 11600 363.811
4062 9699 37.444
4062 3370 246.316
4063 4062 522.081
4064 5832 37.458
4065 4122 597.809
4066 15418 2994.73
4068 1874 61.127
4069 9148 552.276
4070 14014 161.022
4070 11475 571.684
4071 17599 526.21
4072 18563 3045.89
4073 14488 484.555
4074 10714 37.206
4075 15307 864.614
4077 5118 12.034
4079 14631 1571.18
4080 4589 4812.48
4080 12446 6158.43
4081 1738 2657.12
4082 4558 883.705
4083 10513 5096.72
4084 15718 1114.26
4084 1888 410.08
4085 340 5070.31
4086 1398 4915.51
4087 2046 277.413
4088 3896 853.902
4089 7995 38.772
4089 3088 83.524
4090 3887 2937.45
4091 12937 203.866
4092 11273 1431.05
4092 708 4602
4094 17695 87.828
4095 3602 9258.08
4096 5902 331.712
4097 9832 653.104
4098 4735 8597.01
4099 825 6263.73
4100 14574 1575.93
4100 16777 1397.79
4101 14962 714.495
4102 12752 5534.78
4103 5450 535.484
4104 9132 319.56
4104 11564 1121.47
4105 3732 1017.27
4107 7119 104.205
4108 13210 83.491
4109 7395 3322.27
4110 4038 935.935
4112 3089 793.833
4112 7902 133.093
4113 2215 1208.74
4114 12248 184.871
4115 12425 155.465
4115 8302 195.084
4116 7097 3.935
4117 18327 142.561
4118 15123 1621.59
4119 5669 1171.22
4120 13453 187.298
4121 17300 8674.46
4122 6755 196.028
4123 1483 291.808
4126 2468 5477.8
4127 6550 121.996
4128 7472 183.004
4128 1856 158.043
4129 13363 95.348
4130 12012 11.232
4130 12792 40.114
4131 6619 507.822
4132 2736 2722.86
4133 9575 2308.08
4133 17961 672.405
4134 6804 1738.61
4135 10419 340.048
4136 11997 3484.59
4137 11997 642.652
4137 6261 306.113
4137 17 203.837
4141 15618 561.14
4142 9839 2539.01
4143 1535 4461.27
4145 8997 1239.37
4146 4145 4260.4
4147 4038 648.695
4148 8782 351.909
4149 11909 629.666
4150 5043 1255.65
4151 2168 3247
4152 11345 664.868
4153 3521 950.693
4154 10313 786.305
4156 11582 211.094
4159 14141 236.559
4160 3102 19.971
4161 9098 4967.18
4162 4494 5254.51
4163 15603 116.802
4164 10923 1158.46
4166 8521 68.056
4167 4023 431.302
4169 4543 197.462
4170 18542 543.656
4171 4172 5181
4172 931 1112.6
4173 9085 4414.23
4174 360 530.586
4175 8039 918.859
4176 10091 67.796
4176 6755 146.292
4176 18117 100.925
4178 9261 1237.42
4179 10872 1001.87
4180 15442 1570.63
4181 5394 687.651
4183 16242 652.192
4184 4293 1558.93
4185 13569 2354.34
4186 12808 395.88
4186 276 370.347
4187 9276 7269.94
4187 16433 2041.12
4190 12007 754.398
4192 4883 299.354
4193 11117 115.206
4194 17854 2943.27
4195 6307 2.553
4195 16456 20.345
4196 10382 800.582
4197 15091 949.147
4198 12768 1462.43
4199 4806 4342.14
4200 10004 1651.79
4201 9398 128.015
4202 14368 6701.13
4203 10622 799.728
4204 7246 220.335
4205 17792 987.399
4206 3611 526.947
4207 12741 760.947
4207 12373 1018.34
4208 12792 313.544
4209 6100 100.21
4210 9295 1414.08
4211 12635 706.34
4212 4272 353.708
4213 14928 2614.77
4213 14912 1012.32
4215 15807 26.724
4216 372 1117.64
4217 15821 3210.97
4218 3747 117.32
4220 10015 429.827
4221 9257 2102.74
4223 3087 3492.22
4224 8450 2205.84
4225 3401 66.435
4225 13875 12.553
4226 4902 125.017
4226 2388 1005.28
4227 6746 64.885
4228 5103 2697.4
4230 14724 1527.79
4231 12548 8999.51
4232 3493 139.02
4233 18744 570.086
4235 3982 761.592
4235 15804 345.479
4236 11538 1240.85
4237 2729 2211.33
4238 16192 121.064
4239 10810 68.97
4241 1673 240.032
4242 6169 632.288
4243 14463 1499.45
4245 18019 910.125
4246 8008 357.633
4249 12941 4808.31
4250 3693 526.757
4251 3102 37.298
4252 12166 102.959
4253 14747 112.018
4254 3673 1510.68
4255 1866 1369.76
4256 14259 566.435
4257 3164 346.453
4257 1258 342.518
4258 14037 645.364
4259 9356 341.283
4260 10166 1473.41
4261 18670 4883.21
4263 6130 21.922
4264 5745 150.397
4265 15311 3100.78
4266 10395 3601.78
4267 10477 6902.81
4268 3843 2400.2
4269 17927 308.618
4269 6578 462.902
4270 8175 602.244
4271 17756 449.41
4272 2201 1797.78
4273 15854 1124.12
4274 10737 1972.37
4275 8172 592.887
4276 17421 247.641
4277 11893 4882.6
4278 14893 1287.78
4279 11244 1843.54
4280 11442 214.583
4281 6516 3575.48
4282 11594 116.031
4283 2801 124.13
4284 4734 7820.19
4285 6093 3549.1
4286 7009 460.075
4287 7265 2828.9
4288 9356 309.084
4289 11551 666.842
4290 7719 757.735
4291 1914 143.497
4292 6139 611.137
4293 7717 34.129
4294 1598 2511.93
4295 10254 125.808
4296 9685 9.152
4296 15049 11.778
4297 3196 2715.9
4298 14179 712.894
4299 2986 1570.2
4300 3095 64.916
4301 17409 427.621
4302 9241 22.466
4303 12491 680.869
4305 6244 3860.43
4306 1980 744.518
4307 1815 877.378
4308 3064 169.013
4308 12253 115.824
4309 7712 228.061
4310 15982 1565.62
4311 14333 292.436
4312 10372 2557.86
4313 3792 168.104
4314 16026 584.271
4315 2014 965.449
4316 15818 206.066
4317 8931 251.767
4318 18244 163.523
4319 7182 421.888
4320 10615 407.136
4321 15305 118.463
4323 12735 1771.94
4324 1470 6475.3
4325 15492 26.056
4327 3033 1783.62
4328 137 1029.89
4329 6443 1755.36
4330 14899 72.722
4331 14686 9877.34
4332 3774 185.023
4333 10486 282.36
4334 15535 3590.95
4335 10071 191.114
4336 14874 3649.18
4337 17337 238.627
4338 1683 6961.88
4339 2830 105.918
4340 14463 297.092
4342 101 1429.87
4343 6080 265.01
4344 12525 8003.61
4345 14476 1835.77
4346 3195 774.641
4347 5145 384.752
4348 2194 7109.85
4348 14361 6673.93
4349 8290 7068.82
4350 7077 918.221
4351 12313 3316.41
4352 3170 3867.27
4353 3173 4542.26
4355 18207 2783.95
4356 802 169.57
4357 16926 2284.87
4358 15116 2936.38
4359 13726 2345.39
4360 3182 3309.27
4361 1945 826.489
4362 10024 3544.7
4363 2267 95.576
4364 3490 439.057
4365 1780 276.208
4366 1676 1025.37
4367 11522 50.105
4369 2245 199.029
4370 4502 3654.64
4371 579 2737.65
4372 17142 293.365
4373 8485 680.828
4374 15106 71.009
4376 6130 4961.18
4377 9176 3952.33
4378 1937 2130.39
4379 12900 3878.34
4379 7855 5380.49
4380 1950 110.955
4381 14976 1454.21
4382 7677 60.808
4383 670 3088.04
4384 1566 3552.27
4385 11698 787.725
4386 17733 241.649
4386 3469 326.455
4387 14496 243.449
4388 5246 566.365
4389 12609 1088.65
4390 7263 999.197
4391 3135 274.102
4392 7241 1354.18
4393 18087 82.54
4394 4356 124.275
4395 7987 326.786
4396 12104 8134.67
4397 11358 895.295
4398 8541 1335.15
4398 7404 1521.7
4398 16517 98.812
4399 7311 7686.76
4400 11358 64.61
4401 2042 1310.69
4403 11335 339.708
4404 2539 3508.94
4405 1107 3500.98
4406 17689 6539.56
4407 18517 24.152
4408 8824 713.264
4409 12302 194.206
4410 9303 3672.89
4411 12967 1072.06
4412 7046 2269.9
4413 15163 1794.32
4414 5122 10.444
4414 11335 88.201
4415 9965 24.308
4415 7938 22.727
4416 17884 1484.95
4417 4347 3637.81
4418 1424 379.626
4419 10027 1871.08
4419 10948 2000.82
4420 15017 7492.75
4420 16124 4364.82
4421 4877 287.832
4422 9638 2259.36
4423 4363 172.897
4424 9203 1693.29
4425 16697 207.336
4426 16164 5275.71
4427 4301 872.425
4428 7550 1366.34
4429 12715 494.74
4430 17386 5680.08
4431 10503 569.978
4433 13774 338.249
4434 7243 258.641
4435 15103 3475.41
4437 8931 1070.89
4438 17820 510.97
4439 6183 224.791
4439 18508 491.742
4440 1604 379.163
4440 10935 2974.05
4441 10494 1576.99
4442 18423 8033.18
4443 6807 129.133
4444 7560 411.381
4445 11484 52.212
4445 13517 2.039
4446 13517 823.884
4448 6804 332.123
4449 362 348.698
4450 16872 433.684
4451 1420 6952.94
4452 4040 2.643
4453 7049 166.473
4454 8249 132.256
4455 18193 266.219
4456 16606 478.603
4457 10872 3028
4458 4538 6029.22
4459 11201 4011.24
4460 9885 242.777
4462 4463 476.749
4463 4024 17.563
4463 3971 13.092
4464 9197 1522.95
4465 3869 1423.05
4466 3370 888.2
4467 6642 2011.31
4467 6345 4438.9
4468 8649 151.191
4469 14620 18.61
4470 15504 952.823
4471 3370 371.72
